BioNavigator Version	6.3.67.0	PamGrid Version	Protocol file name	Nate_Cpt1a LKO_Male-Female_PTK_Image Analysis_8-10-2022Date	"Wed, 10 Aug 2022 13:55:03 GMT"																																																								
	Barcode	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214116	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214119	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120	640214120
	Exposure time	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100
	Cycle	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Male Control	Male Control	Male Control	Male Control	Male Control	Male LKO	Male LKO	Male LKO	Male LKO	Male LKO	Female Control	Female Control	Female Control	Female Control	Female Control	Female LKO	Female LKO	Female LKO	Female LKO	Female LKO	Male Control	Male Control	Male Control	Male Control	Male Control	Male LKO	Male LKO	Male LKO	Male LKO	Male LKO	Female Control	Female Control	Female Control	Female Control	Female Control	Female LKO	Female LKO	Female LKO	Female LKO	Female LKO	Male Control	Male Control	Male Control	Male Control	Male Control	Male LKO	Male LKO	Male LKO	Male LKO	Male LKO	Female Control	Female Control	Female Control	Female Control	Female Control	Female LKO	Female LKO	Female LKO	Female LKO	Female LKO
ID																																																													
#REF		82	164	433	852	1720	81	174	423	840	1678	81	160	410	831	1619	79	161	410	824	1655	85	170	443	880	1770	83	167	430	850	1715	79	160	411	822	1646	85	172	440	874	1741	82	169	436	845	1695	78	160	416	820	1631	80	152	404	798	1586	84	170	428	858	1709
#REF		98	195	489	991	1974	94	191	477	961	1897	98	188	481	970	1932	90	181	487	959	1941	89	186	484	961	1940	91	185	468	956	1886	95	189	474	944	1891	97	193	494	1004	1977	91	181	462	930	1864	91	186	459	916	1830	95	183	463	911	1847	96	192	485	955	1937
#REF		95	196	490	970	1979	94	186	460	940	1861	95	190	487	970	1914	97	192	492	974	1952	92	188	482	954	1895	90	189	478	962	1932	95	181	460	925	1823	96	191	481	976	1947	90	174	457	925	1886	88	180	461	917	1837	90	175	448	913	1781	95	187	474	951	1908
#REF		93	189	484	966	1928	97	193	483	977	1947	95	190	478	948	1903	93	189	491	954	1909	90	192	481	951	1940	92	190	478	941	1929	91	183	468	942	1899	96	192	484	968	1934	91	183	460	933	1856	91	181	456	916	1815	91	181	460	907	1843	93	178	481	964	1897
#REF		99	207	524	1061	2090	93	189	474	954	1898	93	187	484	965	1939	99	206	524	1030	2108	98	196	501	992	2003	95	193	477	964	1946	97	193	496	966	1977	100	199	501	1005	2019	101	209	524	1046	2085	101	198	511	1036	2065	101	211	536	1062	2134	100	204	509	1024	2054
