BioNavigator Version	6.3.67.0	PamGrid Version	Protocol file name	Nate_Male-Female_Cpt1a LKO_STK image Analysis_7-19-22Date	"Tue, 19 Jul 2022 16:30:19 GMT"																																																								
	Barcode	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374202	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374205	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207	710374207
	Exposure time	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Male Control	Male Control	Male Control	Male Control	Male Control	Male LKO	Male LKO	Male LKO	Male LKO	Male LKO	Female Control	Female Control	Female Control	Female Control	Female Control	Female LKO	Female LKO	Female LKO	Female LKO	Female LKO	Male Control	Male Control	Male Control	Male Control	Male Control	Male LKO	Male LKO	Male LKO	Male LKO	Male LKO	Female Control	Female Control	Female Control	Female Control	Female Control	Female LKO	Female LKO	Female LKO	Female LKO	Female LKO	Male Control	Male Control	Male Control	Male Control	Male Control	Male LKO	Male LKO	Male LKO	Male LKO	Male LKO	Female Control	Female Control	Female Control	Female Control	Female Control	Female LKO	Female LKO	Female LKO	Female LKO	Female LKO
ID																																																													
#REF		112	228	568	1137	2304	114	227	561	1160	2341	110	220	568	1129	2237	107	203	512	1029	2060	106	217	542	1093	2180	107	222	559	1125	2244	109	223	564	1131	2258	113	214	550	1115	2209	105	208	526	1044	2088	105	210	531	1059	2143	97	201	508	1026	2063	105	216	542	1088	2189
#REF		110	223	558	1117	2248	108	224	561	1124	2251	110	220	558	1107	2252	102	210	519	1053	2109	107	216	538	1102	2210	106	215	550	1093	2204	110	217	549	1103	2219	102	211	539	1078	2187	99	206	517	1042	2083	98	206	520	1051	2094	95	196	506	1005	2029	99	208	532	1068	2108
#REF		108	217	559	1103	2204	104	209	536	1071	2155	105	211	537	1095	2168	98	186	470	960	1937	100	202	522	1033	2067	103	206	522	1054	2099	100	202	533	1047	2126	99	203	509	1034	2045	101	200	499	1007	2013	95	195	496	1006	1951	95	191	490	992	1981	103	212	529	1066	2135
#REF		101	203	510	1039	2058	103	205	513	1059	2086	95	200	515	1032	2033	87	184	460	946	1907	100	203	505	1032	2045	95	195	498	984	1978	97	193	501	986	2007	96	193	511	1021	2026	94	194	481	954	1944	92	187	477	957	1947	89	177	446	905	1836	96	198	491	974	1929
#REF		82	164	412	832	1649	77	162	404	810	1628	78	154	386	773	1546	79	152	397	797	1582	84	176	439	878	1749	85	169	425	854	1712	80	166	413	817	1692	79	162	390	786	1577	83	160	416	829	1664	80	157	396	801	1619	76	159	399	793	1582	80	162	392	795	1595
#REF		77	155	395	804	1593	78	160	412	813	1622	77	157	399	813	1598	73	154	364	777	1542	81	169	428	854	1714	81	164	413	823	1652	82	159	414	808	1605	76	155	389	761	1528	81	157	402	810	1603	82	158	394	814	1640	72	147	366	745	1491	79	160	400	800	1621
#REF		90	183	448	909	1796	87	177	457	902	1818	85	175	451	897	1780	92	174	433	876	1761	95	187	469	955	1901	92	179	454	912	1870	86	177	445	918	1824	83	168	419	837	1668	86	169	433	874	1738	84	179	432	878	1760	80	165	409	835	1656	87	179	452	897	1791
#REF		96	190	480	977	1955	94	190	480	970	1955	92	187	469	944	1839	92	189	470	946	1911	99	208	507	1015	2036	97	197	482	994	1983	95	193	481	967	1946	88	188	466	906	1835	94	194	485	969	1945	93	185	466	943	1885	87	178	446	905	1804	91	184	479	940	1889
pTY3H_64_78		356	721	1824	3618	3476	429	854	2128	3779	3471	412	832	2101	3775	3435	380	757	1917	3775	3488	398	806	2025	3754	3401	382	765	1929	3738	3426	389	782	1959	3763	3443	420	847	2109	3778	3443	330	670	1679	3342	3519	392	787	1950	3802	3504	391	781	1958	3766	3431	374	750	1897	3800	3468
ATF2_47_59		-2	-2	-3	-10	-11	-3	-1	-6	-1	-11	-2	-1	-3	-6	-17	-1	-2	-3	-5	-13	0	-3	-5	-8	-15	-1	-2	-3	-8	-12	-2	0	-3	5	-3	-1	-2	-4	-6	-18	-1	-2	0	-2	-8	-2	0	-3	-6	-2	-1	-3	-4	-10	-24	-1	-4	-6	-10	-20
CDN1A_139_151		61	124	315	642	1294	66	134	336	683	1374	77	158	390	803	1601	60	123	317	636	1269	67	136	353	713	1437	72	139	352	743	1486	64	127	322	664	1310	58	128	323	654	1300	67	135	333	673	1368	68	133	331	661	1320	90	186	467	935	1846	84	173	438	887	1766
